,Số báo danh,Toán,Văn,Lý,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ,Tên ngoại ngữ
3332,64003339,2.8,6.75,,,,6.75,7.5,9.25,3.2,N1,Tiếng Anh
3333,64003340,3.8,6.25,,4.75,5.25,,,,3.8,N1,Tiếng Anh
3334,64003341,,7.75,6.75,,5.25,,,,4.6,N1,Tiếng Anh
3335,64003342,6.2,,,,,6.75,7.25,8.5,2.8,N1,Tiếng Anh
3336,64003343,3.8,5.5,,,,3.5,4.25,6.5,,N1,Tiếng Anh
3337,64003344,5.4,8.25,,,,,7.25,,3.2,N1,Tiếng Anh
3338,64003345,7.2,7.25,,7.75,,,,,3.4,N1,Tiếng Anh
3339,64003346,5.6,6.25,5.5,,4.75,,,,1.8,N1,Tiếng Anh
3340,64003347,,8.75,6.75,6.5,6.25,,,,8.6,N1,Tiếng Anh
3341,64003348,4.8,7.5,,,,6.75,6.5,9.5,,N1,Tiếng Anh
3342,64003349,,6.75,,,,,8.25,9.25,5.8,N1,Tiếng Anh
3343,64003350,5.4,6.75,,,,5.25,,,3.6,N1,Tiếng Anh
3344,64003351,6.2,,4.75,,,,,,3.4,N1,Tiếng Anh
3345,64003352,,6.75,,,,5.5,6.75,,3.6,N1,Tiếng Anh
3346,64003353,5.4,5.25,5.5,7.5,5.5,,,,3.4,N1,Tiếng Anh
3347,64003354,,7.75,7.75,6.75,,,,,,N1,Tiếng Anh
3348,64003355,4.4,,,,,,,8.25,,N1,Tiếng Anh
3349,64003356,5.2,7.5,,,,4.5,,,4.8,N1,Tiếng Anh
3350,64003357,4.6,,,,,5.25,7.25,,4.6,N1,Tiếng Anh
3351,64003358,6.6,7.5,3.5,5.75,,,,,6.8,N1,Tiếng Anh
3352,64003359,3.2,,3.25,3.75,6.25,,,,6.8,N1,Tiếng Anh
3353,64003360,6.4,5.5,4.25,,6.75,,,,2.8,N1,Tiếng Anh
3354,64003361,6.2,4.5,,,,6.75,7.25,7.75,5.2,N1,Tiếng Anh
3355,64003362,6.8,6.5,,,,5.5,7.5,8.5,,N1,Tiếng Anh
3356,64003363,7.2,,,6.75,7.75,,,,5.8,N1,Tiếng Anh
3357,64003364,5.4,5.25,,,,,7.25,,3.2,N1,Tiếng Anh
3358,64003365,3.4,5.75,,,,4.25,5.25,,,N1,Tiếng Anh
3359,64003366,5.2,6.75,,,,6.5,,8.75,3.6,N1,Tiếng Anh
3360,64003367,3.8,6.25,2.25,4.5,6.25,,,,2.8,N1,Tiếng Anh
3361,64003368,8.2,7.5,,7.75,8.5,,,,5.4,N1,Tiếng Anh
3362,64003369,6.4,,,,,,5.75,8.75,4.4,N1,Tiếng Anh
3363,64003370,,7.75,6.25,,8.75,,,,6.2,N1,Tiếng Anh
3364,64003371,5.4,,,,,4.75,6.5,7.5,3.2,N1,Tiếng Anh
3365,64003372,5.6,7.5,5.5,,6.25,,,,3.8,N1,Tiếng Anh
3366,64003373,7.4,,7.5,7.25,6.75,,,,5.8,N1,Tiếng Anh
3367,64003374,4.2,,4.5,,7.75,,,,3.8,N1,Tiếng Anh
3368,64003375,,7.75,,,,4.5,5.75,8.5,3.4,N1,Tiếng Anh
3369,64003376,6.6,6.75,6.5,5.75,,,,,,N1,Tiếng Anh
3370,64003377,5.8,7.75,,,,,9.5,9.5,2.2,N1,Tiếng Anh
3371,64003378,5.2,7.25,,,,6.75,6.75,9.75,3.6,N1,Tiếng Anh
3372,64003379,4.4,,,,,2.5,5.5,,3.2,N1,Tiếng Anh
3373,64003380,4.8,,,,,3.25,6.75,7.25,2.4,N1,Tiếng Anh
3374,64003381,5.2,6.5,,,,7.25,9.25,8.75,4.2,N1,Tiếng Anh
3375,64003382,5.6,8.25,,,,,7.25,9.25,4.4,N1,Tiếng Anh
3376,64003383,6.2,,7.25,6.25,8.25,,,,7.2,N1,Tiếng Anh
3377,64003384,,6.75,,5.25,,,,,2.8,N1,Tiếng Anh
3378,64003385,,,,,,7.5,6.75,7.75,2.6,N1,Tiếng Anh
3379,64003386,,,,7.5,7.75,,,,4.6,N1,Tiếng Anh
3380,64003387,5.8,,,,,5.75,6.25,8.5,,N1,Tiếng Anh
3381,64003388,2.6,5.5,,,,4.75,5.5,,3.2,N1,Tiếng Anh
3382,64003389,6.2,,,,,6.25,6.5,8.75,2.8,N1,Tiếng Anh
3383,64003390,6.8,5.25,,,,,8.75,,,N1,Tiếng Anh
3384,64003391,,5.75,6.5,7.25,7.25,,,,3.8,N1,Tiếng Anh
3385,64003392,3.8,6.5,,,,6.25,5.25,8.25,2.8,N1,Tiếng Anh
3386,64003393,4.6,7.25,4.75,5.5,5.5,,,,2.2,N1,Tiếng Anh
3387,64003394,5.8,7.25,6.75,7.25,8.5,,,,6.8,N1,Tiếng Anh
3388,64003395,5.6,7.25,,,,,7.25,9.25,4.8,N1,Tiếng Anh
3389,64003396,6.2,5.5,,,7.25,,,,2.4,N1,Tiếng Anh
3390,64003397,2.4,,,,,4.5,4.75,5.25,3.4,N1,Tiếng Anh
3391,64003398,6.6,7.5,,,,6.5,7.75,7.5,3.8,N1,Tiếng Anh
3392,64003399,,,,,,,,8.5,3.2,N1,Tiếng Anh
3393,64003400,5.8,,4.75,,,,,,7.2,N1,Tiếng Anh
3394,64003401,4.8,7.75,,4.75,,,,,3.8,N1,Tiếng Anh
3395,64003402,3.6,6.75,,,,6.25,,8.5,5.2,N1,Tiếng Anh
3396,64003403,,,,,,3.5,,,1.8,N1,Tiếng Anh
3397,64003404,5.6,,,,,6.25,,9.25,3.4,N1,Tiếng Anh
3398,64003405,7.4,6.75,7.75,7.75,6.5,,,,1.8,N1,Tiếng Anh
3399,64003406,3.2,,,,,4.5,5.25,7.25,,N1,Tiếng Anh
3400,64003407,3.8,,,,,5.5,6.25,6.5,2.8,N1,Tiếng Anh
3401,64003408,4.4,7.5,2.75,3.5,6.25,,,,2.4,N1,Tiếng Anh
3402,64003409,6.4,4.25,5.75,,4.25,,,,3.4,N1,Tiếng Anh
3403,64003410,6.6,5.5,7.25,6.5,6.5,,,,3.8,N1,Tiếng Anh
3404,64003411,5.8,,,,,9.25,8.25,9.75,,N1,Tiếng Anh
3405,64003412,4.4,8.75,,,,8.25,7.75,9.5,6.8,N1,Tiếng Anh
3406,64003413,,7.5,,,,3.5,,7.75,3.6,N1,Tiếng Anh
3407,64003414,3.6,7.25,,,,,7.5,,2.6,N1,Tiếng Anh
3408,64003415,7.4,7.5,,,,6.75,8.25,8.75,,N1,Tiếng Anh
3409,64003416,,6.5,,6.75,7.75,,,,3.8,N1,Tiếng Anh
3410,64003417,,,,,,5.75,6.25,8.5,4.2,N1,Tiếng Anh
3411,64003418,5.4,6.75,4.75,3.5,6.5,,,,,N1,Tiếng Anh
3412,64003419,7.2,6.5,4.25,3.5,7.25,,,,5.6,N1,Tiếng Anh
3413,64003420,5.6,4.5,,,,,,8.25,2.6,N1,Tiếng Anh
3414,64003421,,6.75,,,,,8.75,,3.4,N1,Tiếng Anh
3415,64003422,7.6,7.5,,7.25,6.75,,,,6.2,N1,Tiếng Anh
3416,64003424,6.4,8.25,,,,6.25,8.25,9.5,,N1,Tiếng Anh
3417,64003425,5.4,,,,,6.5,,9.5,,N1,Tiếng Anh
3418,64003426,,6.25,7.75,,7.75,,,,6.2,N1,Tiếng Anh
3419,64003427,7.2,7.75,,,,6.25,7.5,,,N1,Tiếng Anh
3420,64003428,4.6,6.25,,,,3.5,6.5,7.5,3.4,N1,Tiếng Anh
3421,64003429,,6.41,5.75,4.5,6.25,,,,4.6,N1,Tiếng Anh
3422,64003430,4.6,8.5,,,,7.25,7.25,9.75,4.6,N1,Tiếng Anh
3423,64003431,4.2,6.75,,,,5.75,6.5,7.75,3.8,N1,Tiếng Anh
3424,64003432,,7.25,5.5,,4.75,,,,3.2,N1,Tiếng Anh
3425,64003433,6.6,,,,,,,10.0,9.6,N1,Tiếng Anh
3426,64003434,7.4,,,,,6.25,5.5,,4.2,N1,Tiếng Anh
3427,64003435,4.6,7.75,,,,7.5,6.5,8.5,3.6,N1,Tiếng Anh
3428,64003436,6.6,8.5,,,,6.25,5.75,8.75,5.4,N1,Tiếng Anh
3429,64003437,5.2,8.5,,,,,7.25,8.75,7.2,N1,Tiếng Anh
3430,64003438,3.8,,,,,6.75,5.25,,,N1,Tiếng Anh
3431,64003439,6.4,8.75,,,,,6.75,8.5,3.4,N1,Tiếng Anh
3432,64003440,7.8,8.25,,,,6.75,5.25,8.75,,N1,Tiếng Anh
3433,64003441,5.8,8.25,,,,6.75,,8.5,5.4,N1,Tiếng Anh
3434,64003442,5.8,,,,,,,,6.4,N1,Tiếng Anh
3435,64003443,,7.58,6.75,7.25,6.75,,,,6.8,N1,Tiếng Anh
3436,64003444,4.8,,,,,,,9.75,5.2,N1,Tiếng Anh
3437,64003445,,7.5,,,,5.25,,8.5,3.8,N1,Tiếng Anh
3438,64003446,7.6,6.75,7.25,,8.5,,,,4.8,N1,Tiếng Anh
3439,64003447,,5.75,,,,3.25,3.75,,,N1,Tiếng Anh
3440,64003448,2.4,6.25,,,,3.75,6.25,8.25,,N1,Tiếng Anh
3441,64003449,7.8,,,,,,7.5,,,N1,Tiếng Anh
3442,64003450,5.4,,,,,,5.75,7.75,4.6,N1,Tiếng Anh
3443,64003451,2.6,,,,,,6.5,9.25,,N1,Tiếng Anh
3444,64003452,7.2,,5.25,5.75,5.25,,,,4.6,N1,Tiếng Anh
3445,64003453,,6.25,,,,5.5,7.25,8.75,,N1,Tiếng Anh
3446,64003454,5.8,8.25,,,,8.25,6.5,,5.6,N1,Tiếng Anh
3447,64003455,,5.75,,,,4.75,5.25,6.25,,N1,Tiếng Anh
3448,64003456,6.6,6.75,,,,6.75,7.75,8.25,3.6,N1,Tiếng Anh
3449,64003457,2.8,5.75,,,,3.75,4.5,6.75,2.4,N1,Tiếng Anh
3450,64003458,7.6,,,,,6.25,,8.75,,N1,Tiếng Anh
3451,64003459,4.2,,,,,,4.75,7.25,2.2,N1,Tiếng Anh
3452,64003460,6.2,6.5,,,,,,9.5,3.6,N1,Tiếng Anh
3453,64003461,4.2,6.75,,,,5.75,,8.75,,N1,Tiếng Anh
3454,64003462,4.8,6.5,,,,,6.75,8.5,,N1,Tiếng Anh
3455,64003463,2.6,6.25,,,,4.25,3.5,6.25,2.4,N1,Tiếng Anh
3456,64003464,,7.25,,,,5.5,5.5,8.25,,N1,Tiếng Anh
3457,64003465,7.8,,5.5,6.75,,,,,3.8,N1,Tiếng Anh
3458,64003466,6.6,6.25,,,,,,8.75,3.6,N1,Tiếng Anh
3459,64003467,,6.75,,,,8.25,7.25,8.25,5.4,N1,Tiếng Anh
3460,64003468,,7.5,,,,,6.25,9.5,3.4,N1,Tiếng Anh
3461,64003469,7.2,,,,,5.75,5.25,8.75,,N1,Tiếng Anh
3462,64003470,5.4,6.5,,,,,5.25,8.5,,N1,Tiếng Anh
3463,64003471,4.8,5.5,,,,3.75,5.25,6.5,2.8,N1,Tiếng Anh
3464,64003472,4.6,7.25,,,,4.5,5.75,,,N1,Tiếng Anh
3465,64003473,6.2,7.75,,,,,,7.75,2.8,N1,Tiếng Anh
3466,64003474,,,7.75,5.75,7.5,,,,8.4,N1,Tiếng Anh
3467,64003475,5.2,6.5,,,,,6.75,,,N1,Tiếng Anh
3468,64003476,5.4,7.5,,,,,6.5,8.25,,N1,Tiếng Anh
3469,64003477,5.4,,,,,,,,4.6,N1,Tiếng Anh
3470,64003478,6.6,5.5,,,,8.25,,9.5,,N1,Tiếng Anh
3471,64003479,3.6,5.25,,,,5.25,6.25,,2.4,N1,Tiếng Anh
3472,64003480,4.8,7.5,,,,6.25,5.75,8.5,,N1,Tiếng Anh
3473,64003481,5.2,,,,,,,7.25,5.2,N1,Tiếng Anh
3474,64003482,6.4,,,,,5.5,,8.5,4.2,N1,Tiếng Anh
3475,64003483,5.4,6.75,,,,,6.5,9.25,3.4,N1,Tiếng Anh
3476,64003484,4.6,6.75,,,,2.25,,7.5,,N1,Tiếng Anh
3477,64003485,5.8,7.5,,,,,6.75,8.75,5.2,N1,Tiếng Anh
3478,64003486,2.8,,,,,4.5,5.5,6.25,2.2,N1,Tiếng Anh
3479,64003487,8.2,,8.75,8.25,6.5,,,,4.6,N1,Tiếng Anh
3480,64003488,,5.75,,,5.75,,,,7.4,N1,Tiếng Anh
3481,64003489,5.4,5.5,,,,3.25,4.25,7.25,3.2,N1,Tiếng Anh
3482,64003490,3.8,6.5,,,,5.5,,8.75,,N1,Tiếng Anh
3483,64003491,6.6,6.75,,,,7.25,5.5,8.25,1.6,N1,Tiếng Anh
3484,64003492,3.8,6.5,,,,3.75,4.75,4.5,3.2,N1,Tiếng Anh
3485,64003493,5.6,5.5,,,,4.25,6.75,8.75,3.4,N1,Tiếng Anh
3486,64003494,3.8,5.5,,,,3.75,,6.25,3.4,N1,Tiếng Anh
3487,64003495,7.6,7.25,,,,8.25,8.25,10.0,5.6,N1,Tiếng Anh
3488,64003496,5.6,6.5,,,,7.5,6.75,,,N1,Tiếng Anh
3489,64003497,5.6,,,,,,6.5,8.5,3.2,N1,Tiếng Anh
3490,64003498,6.6,,,,,7.5,6.25,9.5,4.4,N1,Tiếng Anh
3491,64003499,3.2,,,,,7.5,5.75,,3.4,N1,Tiếng Anh
3492,64003500,4.6,,,,,,6.5,7.25,2.8,N1,Tiếng Anh
3493,64003501,2.8,,,,,2.5,,6.75,3.6,N1,Tiếng Anh
3494,64003502,4.8,5.5,,,,,7.75,8.5,3.6,N1,Tiếng Anh
3495,64003503,7.8,7.25,,7.75,7.75,,,,5.6,N1,Tiếng Anh
3496,64003504,,6.75,7.5,,7.5,,,,6.2,N1,Tiếng Anh
3497,64003505,4.6,7.25,,,,,6.75,8.25,2.6,N1,Tiếng Anh
3498,64003506,,,,,,4.5,,,,N1,Tiếng Anh
3499,64003507,3.6,,,,,5.75,6.25,,3.2,N1,Tiếng Anh
3500,64003508,7.4,7.5,,,,7.75,7.25,9.25,4.4,N1,Tiếng Anh
3501,64003509,,5.25,6.75,7.5,,,,,5.8,N1,Tiếng Anh
3502,64003510,6.8,7.75,,,,,6.5,9.25,3.2,N1,Tiếng Anh
3503,64003511,,7.5,,,,7.25,5.5,8.5,6.4,N1,Tiếng Anh
3504,64003512,4.6,,,,,,5.75,,3.2,N1,Tiếng Anh
3505,64003513,5.4,,,,,7.75,6.5,7.75,4.4,N1,Tiếng Anh
3506,64003514,7.4,7.5,,,,7.5,,9.5,3.8,N1,Tiếng Anh
3507,64003515,7.8,7.41,,,,6.75,,9.75,6.4,N1,Tiếng Anh
3508,64003516,6.4,,,,,8.5,,8.5,3.8,N1,Tiếng Anh
3509,64003517,2.8,6.25,,,,3.5,,,1.6,N1,Tiếng Anh
3510,64003518,,,,,6.25,,,,3.6,N1,Tiếng Anh
3511,64003519,8.4,8.25,8.75,,7.5,,,,6.8,N1,Tiếng Anh
3512,64003520,5.4,,,,,6.75,7.25,8.75,2.6,N1,Tiếng Anh
3513,64003521,3.6,6.5,,,,5.75,6.25,7.25,4.2,N1,Tiếng Anh
3514,64003522,,,7.75,,6.75,,,,6.8,N1,Tiếng Anh
3515,64003523,4.6,7.5,,,,4.75,6.5,8.25,2.6,N1,Tiếng Anh
3516,64003524,5.6,5.5,,,,,5.75,,3.4,N1,Tiếng Anh
3517,64003525,7.2,8.5,,,,5.25,6.5,9.5,3.8,N1,Tiếng Anh
3518,64003526,2.4,6.75,,,,4.25,5.25,,1.4,N1,Tiếng Anh
3519,64003527,5.2,6.75,,,,4.5,4.25,,,N1,Tiếng Anh
3520,64003528,5.8,7.25,,,,4.75,6.25,,4.2,N1,Tiếng Anh
3521,64003529,,7.25,,,,4.5,,8.5,2.2,N1,Tiếng Anh
3522,64003530,4.6,6.25,,,,,5.75,7.25,,N1,Tiếng Anh
3523,64003531,,7.5,,,,7.25,,9.5,4.8,N1,Tiếng Anh
3524,64003532,2.4,5.5,,,,4.75,3.75,6.5,4.2,N1,Tiếng Anh
3525,64003533,7.4,8.5,,,,8.75,6.75,9.5,5.6,N1,Tiếng Anh
3526,64003534,6.4,7.25,,,,6.5,6.25,,4.8,N1,Tiếng Anh
3527,64003535,5.8,6.75,,,,4.25,,7.75,4.4,N1,Tiếng Anh
3528,64003536,5.4,7.25,,,,5.5,,6.25,4.4,N1,Tiếng Anh
3529,64003537,3.6,6.25,,,,3.5,2.75,,3.6,N1,Tiếng Anh
3530,64003538,,7.5,,,,6.5,6.5,8.5,2.8,N1,Tiếng Anh
3531,64003539,4.4,6.75,,,,,6.75,8.75,3.4,N1,Tiếng Anh
3532,64003540,4.4,6.5,,,,5.5,5.75,7.5,2.8,N1,Tiếng Anh
3533,64003541,5.2,5.5,,,,,5.5,8.5,4.6,N1,Tiếng Anh
3534,64003542,,,,,,4.75,5.25,8.5,4.6,N1,Tiếng Anh
3535,64003544,8.4,6.25,7.5,7.5,8.5,,,,5.6,N1,Tiếng Anh
3536,64003545,3.6,7.75,,,,7.75,,8.5,,N1,Tiếng Anh
3537,64003546,,5.75,,,,5.25,5.5,,5.8,N1,Tiếng Anh
3538,64003547,7.6,6.75,,,,6.5,5.25,8.5,5.2,N1,Tiếng Anh
3539,64003548,7.8,8.5,,,,7.25,7.25,9.5,5.2,N1,Tiếng Anh
3540,64003549,7.4,6.25,,,,6.75,,,4.6,N1,Tiếng Anh
3541,64003550,,6.25,5.75,7.5,8.5,,,,5.2,N1,Tiếng Anh
3542,64003551,,,,,,,6.75,7.75,,N1,Tiếng Anh
3543,64003552,5.4,7.75,,,,7.5,,8.75,3.6,N1,Tiếng Anh
3544,64003553,7.6,7.25,,,,7.75,8.25,9.25,6.4,N1,Tiếng Anh
3545,64003554,2.6,6.25,,,,4.5,,,2.4,N1,Tiếng Anh
3546,64003555,,6.5,,,,,5.5,7.5,,N1,Tiếng Anh
3547,64003556,5.6,5.75,,,,3.5,5.5,,3.8,N1,Tiếng Anh
3548,64003557,,5.5,,,,,6.75,8.5,,N1,Tiếng Anh
3549,64003558,5.4,6.75,,,,,4.25,6.5,4.6,N1,Tiếng Anh
3550,64003559,4.4,6.75,,,,5.25,4.25,7.75,2.6,N1,Tiếng Anh
3551,64003560,5.6,8.25,,,,2.75,6.5,9.75,,N1,Tiếng Anh
3552,64003561,6.8,7.75,,,,5.5,6.25,7.75,3.8,N1,Tiếng Anh
3553,64003562,4.4,7.5,,,,,5.75,9.25,3.4,N1,Tiếng Anh
3554,64003563,7.8,,,,,,7.5,9.75,7.6,N1,Tiếng Anh
3555,64003564,5.8,6.25,,,,3.25,,,2.8,N1,Tiếng Anh
3556,64003565,,,,,,3.25,5.25,5.75,3.2,N1,Tiếng Anh
3557,64003566,4.4,6.75,,,,7.25,6.25,9.75,4.8,N1,Tiếng Anh
3558,64003567,5.4,7.5,,,,,6.5,9.5,4.4,N1,Tiếng Anh
3559,64003568,3.4,6.5,,,,5.75,6.75,,4.6,N1,Tiếng Anh
3560,64003569,,,,,,5.75,4.25,6.5,2.4,N1,Tiếng Anh
3561,64003570,6.2,7.25,,,,5.75,6.5,8.5,,N1,Tiếng Anh
3562,64003571,5.2,,,,,,5.75,,1.8,N1,Tiếng Anh
3563,64003572,7.8,8.5,,,,8.25,7.75,,7.8,N1,Tiếng Anh
3564,64003573,2.4,,,,,3.25,4.5,8.25,2.6,N1,Tiếng Anh
3565,64003574,2.6,,,,,2.5,5.25,5.25,2.2,N1,Tiếng Anh
3566,64003575,,6.25,6.75,,,,,,4.6,N1,Tiếng Anh
3567,64003576,5.4,6.5,,,,6.5,6.75,9.5,3.2,N1,Tiếng Anh
3568,64003577,5.6,,,,,5.5,5.5,8.25,,N1,Tiếng Anh
3569,64003578,5.2,7.25,,,,5.25,,8.75,,N1,Tiếng Anh
3570,64003579,5.4,8.5,,,,9.5,6.5,9.5,3.8,N1,Tiếng Anh
3571,64003580,,,,,,7.25,5.75,8.25,4.6,N1,Tiếng Anh
3572,64003581,6.4,7.25,,,,5.25,5.5,7.75,3.6,N1,Tiếng Anh
3573,64003582,,4.25,6.75,5.75,7.5,,,,,N1,Tiếng Anh
3574,64003583,2.6,,,,,4.75,4.5,,3.2,N1,Tiếng Anh
3575,64003584,,7.5,,,,,5.5,7.75,3.8,N1,Tiếng Anh
3576,64003585,5.4,5.25,,,,3.75,6.25,6.25,2.4,N1,Tiếng Anh
3577,64003586,5.4,,,,,6.75,6.25,9.5,3.8,N1,Tiếng Anh
3578,64003587,3.4,5.75,,,,,4.75,7.25,2.4,N1,Tiếng Anh
3579,64003588,3.6,7.5,,,,7.25,5.5,8.5,,N1,Tiếng Anh
3580,64003589,,6.25,,,,5.75,,8.5,3.6,N1,Tiếng Anh
3581,64003590,5.6,,,,,6.5,5.75,8.75,4.4,N1,Tiếng Anh
3582,64003591,7.2,8.75,,,,,7.5,9.5,7.8,N1,Tiếng Anh
3583,64003592,,6.5,,,,,5.25,7.5,3.8,N1,Tiếng Anh
3584,64003593,6.4,7.25,,,,6.5,6.75,9.25,2.4,N1,Tiếng Anh
3585,64003594,,8.5,,,,4.25,6.25,9.25,4.6,N1,Tiếng Anh
3586,64003595,4.2,6.5,,,,,5.25,7.75,3.6,N1,Tiếng Anh
3587,64003596,3.4,,,,,,5.75,6.75,,N1,Tiếng Anh
3588,64003597,4.2,5.75,,,,,6.25,6.75,2.8,N1,Tiếng Anh
3589,64003598,5.4,,,,,5.75,5.5,8.5,,N1,Tiếng Anh
3590,64003599,5.6,6.25,,,,4.75,,7.75,2.2,N1,Tiếng Anh
3591,64003600,,5.75,7.5,7.25,7.5,,,,5.4,N1,Tiếng Anh
3592,64003601,4.8,6.5,,,,5.25,3.75,5.25,2.8,N1,Tiếng Anh
3593,64003602,,6.75,,,,5.5,6.5,7.25,4.2,N1,Tiếng Anh
3594,64003603,7.8,,,,,,7.5,9.25,4.4,N1,Tiếng Anh
3595,64003604,4.4,,,,,,,,2.6,N1,Tiếng Anh
3596,64003605,5.2,8.25,,,,6.75,6.5,9.75,8.2,N1,Tiếng Anh
3597,64003606,,7.25,4.75,6.5,7.25,,,,4.2,N1,Tiếng Anh
3598,64003607,5.8,8.75,,,,5.5,,7.25,2.4,N1,Tiếng Anh
3599,64003608,4.6,7.5,,,,7.25,,9.5,4.2,N1,Tiếng Anh
3600,64003609,5.8,,,,,,5.75,9.5,,N1,Tiếng Anh
3601,64003610,,8.25,,,,8.5,7.5,9.25,5.8,N1,Tiếng Anh
3602,64003611,6.4,6.75,,,,6.5,,,2.8,N1,Tiếng Anh
3603,64003612,7.4,7.5,,,,6.75,,9.5,5.2,N1,Tiếng Anh
3604,64003613,7.2,,,,,6.25,5.75,9.75,4.2,N1,Tiếng Anh
3605,64003614,5.6,8.25,,,,6.5,4.25,,3.4,N1,Tiếng Anh
3606,64003615,7.2,6.75,,,,6.5,6.5,8.75,5.2,N1,Tiếng Anh
3607,64003616,7.8,,7.25,5.75,6.75,,,,4.6,N1,Tiếng Anh
3608,64003617,7.6,7.5,6.25,,8.75,,,,5.6,N1,Tiếng Anh
3609,64003618,,8.25,,,,8.75,4.75,9.5,6.6,N1,Tiếng Anh
3610,64003619,2.6,,,,,5.5,5.5,,,N1,Tiếng Anh
3611,64003620,3.6,7.25,,,,6.5,6.75,,2.6,N1,Tiếng Anh
3612,64003621,4.2,7.75,,,,,4.5,8.25,4.2,N1,Tiếng Anh
3613,64003622,6.6,,,,,,6.25,9.75,4.6,N1,Tiếng Anh
3614,64003623,4.6,,,,,5.75,,5.25,2.6,N1,Tiếng Anh
3615,64003624,4.8,7.5,,,,5.25,7.25,8.75,4.8,N1,Tiếng Anh
3616,64003625,4.6,7.5,,,,5.75,6.5,8.75,5.2,N1,Tiếng Anh
3617,64003626,6.6,7.75,,,,7.25,,8.75,4.2,N1,Tiếng Anh
3618,64003627,4.8,6.75,,,,5.25,5.75,8.25,3.2,N1,Tiếng Anh
3619,64003628,4.6,7.25,,,,6.25,,8.25,,N1,Tiếng Anh
3620,64003629,,7.75,,,,,,9.5,4.2,N1,Tiếng Anh
3621,64003630,8.2,6.5,8.75,6.75,7.75,,,,5.6,N1,Tiếng Anh
3622,64003631,4.4,,,,,,6.25,,3.6,N1,Tiếng Anh
3623,64003632,5.8,7.75,,,,5.5,5.5,,3.2,N1,Tiếng Anh
3624,64003633,6.2,7.75,,,,6.5,6.5,8.75,3.8,N1,Tiếng Anh
3625,64003634,5.8,7.25,,,,6.5,,8.75,5.2,N1,Tiếng Anh
3626,64003635,,7.5,,,,5.75,6.25,8.75,5.2,N1,Tiếng Anh
3627,64003636,,7.75,,,,,7.5,9.75,4.8,N1,Tiếng Anh
3628,64003637,,7.5,,,,5.75,4.5,8.5,2.8,N1,Tiếng Anh
3629,64003638,6.8,,,,,6.75,,8.5,,N1,Tiếng Anh
3630,64003639,6.4,7.25,,,,7.25,7.25,,,N1,Tiếng Anh
3631,64003640,,6.5,,,,,,,4.2,N1,Tiếng Anh
3632,64003641,4.4,,,,,3.5,4.25,7.75,,N1,Tiếng Anh
3633,64003642,2.8,,,,,3.5,3.25,7.5,2.4,N1,Tiếng Anh
3634,64003643,6.4,6.25,,,,,5.75,9.5,,N1,Tiếng Anh
3635,64003644,3.8,7.5,,,,,6.25,,3.4,N1,Tiếng Anh
3636,64003645,7.8,6.5,,,,5.75,6.75,,3.6,N1,Tiếng Anh
3637,64003646,7.2,8.5,7.25,7.75,6.75,,,,,N1,Tiếng Anh
3638,64003647,4.2,7.25,,,,3.75,5.25,8.75,3.6,N1,Tiếng Anh
3639,64003648,5.4,7.5,,,,7.75,7.5,9.75,7.6,N1,Tiếng Anh
3640,64003649,,7.5,,,,3.5,6.25,8.25,4.4,N1,Tiếng Anh
3641,64003650,5.2,7.75,,,,4.75,5.25,,3.6,N1,Tiếng Anh
3642,64003651,5.2,6.75,,,,7.25,,9.5,5.4,N1,Tiếng Anh
3643,64003652,6.6,7.25,,,,5.5,6.5,9.75,3.8,N1,Tiếng Anh
3644,64003653,6.6,8.25,,,,6.5,7.25,,4.8,N1,Tiếng Anh
3645,64003654,6.2,,,,,,,9.25,3.8,N1,Tiếng Anh
3646,64003655,5.6,6.25,,,,6.5,6.5,,3.4,N1,Tiếng Anh
3647,64003656,4.6,6.75,,,,3.75,5.5,7.75,3.8,N1,Tiếng Anh
3648,64003657,,6.5,,,,5.75,4.75,8.5,,N1,Tiếng Anh
3649,64003658,4.8,6.5,,,,3.5,4.5,,,N1,Tiếng Anh
3650,64003659,5.2,7.75,,,,7.25,6.5,9.25,3.4,N1,Tiếng Anh
3651,64003660,6.4,,,,,6.75,6.75,9.75,6.2,N1,Tiếng Anh
3652,64003661,6.6,7.25,,,,6.5,7.25,9.25,3.6,N1,Tiếng Anh
3653,64003662,6.4,,5.75,,6.5,,,,5.6,N1,Tiếng Anh
3654,64003663,6.2,6.41,,,,6.5,4.75,9.25,4.8,N1,Tiếng Anh
3655,64003664,5.4,7.25,,,,,4.5,8.5,5.4,N1,Tiếng Anh
3656,64003665,6.4,,,,,6.5,6.5,8.25,4.2,N1,Tiếng Anh
3657,64003666,6.6,8.25,,,,,,9.25,4.4,N1,Tiếng Anh
3658,64003667,5.4,6.25,,,,6.75,6.25,9.5,,N1,Tiếng Anh
3659,64003668,,6.5,,,,,7.25,9.25,,N1,Tiếng Anh
3660,64003669,5.8,5.75,,,,,5.25,,3.2,N1,Tiếng Anh
3661,64003670,5.6,4.5,,,,3.75,6.5,7.25,2.8,N1,Tiếng Anh
3662,64003671,5.6,6.5,,,,4.75,,8.5,,N1,Tiếng Anh
3663,64003672,,,5.5,,6.5,,,,3.8,N1,Tiếng Anh
3664,64003673,5.6,6.75,,,,8.25,5.5,9.25,3.4,N1,Tiếng Anh
