,Số báo danh,Toán,Văn,Lý,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ,Tên ngoại ngữ
145,64000147,5.2,,,,,4.5,6.5,8.5,3.8,N1,Tiếng Anh
146,64000148,,6.5,,,,,5.25,8.25,,N1,Tiếng Anh
147,64000149,5.8,8.5,,,,,7.25,8.5,3.4,N1,Tiếng Anh
148,64000150,6.4,,,,,6.5,7.75,,,,
149,64000151,7.8,7.75,,,,7.5,5.75,9.5,7.8,N1,Tiếng Anh
150,64000152,7.2,,,,,8.25,,9.75,,N1,Tiếng Anh
151,64000153,4.4,,,,,3.5,4.75,8.5,2.2,N1,Tiếng Anh
152,64000154,5.6,,,,,5.25,5.25,8.5,3.4,N1,Tiếng Anh
153,64000155,3.2,7.75,,,,,5.75,,1.8,N1,Tiếng Anh
154,64000156,,,,,,4.5,5.5,,,,
155,64000157,3.8,6.75,,,,4.75,5.5,,,,
156,64000158,,6.25,,6.75,,,,,,N1,Tiếng Anh
157,64000159,4.8,,,,,5.5,5.75,,4.2,N1,Tiếng Anh
158,64000160,6.6,7.5,,,,,,,,N1,Tiếng Anh
159,64000161,7.4,6.75,7.5,7.25,4.5,,,,3.4,N1,Tiếng Anh
160,64000162,,8.25,,,,10.0,8.5,9.5,5.8,N1,Tiếng Anh
161,64000163,,7.75,,,,8.25,5.25,8.75,4.2,N1,Tiếng Anh
162,64000164,,,6.25,5.25,,,,,3.8,N1,Tiếng Anh
163,64000165,3.2,,,,,,2.75,,,,
164,64000166,5.2,7.75,,,,8.25,7.75,8.75,,N1,Tiếng Anh
165,64000167,2.6,5.5,,,,3.75,4.75,,,,
166,64000168,,6.5,,,,4.75,5.75,,,,
167,64000169,4.6,,,,,7.25,6.5,,,,
168,64000170,4.2,5.25,,,,3.75,4.75,,,,
169,64000171,,7.5,,,,4.25,5.5,,,N1,Tiếng Anh
170,64000172,6.8,7.5,,,,6.25,6.75,9.25,3.6,N1,Tiếng Anh
171,64000173,6.2,,,,,,4.75,9.25,5.8,N1,Tiếng Anh
172,64000174,4.4,6.75,,,,3.75,5.25,6.75,,N1,Tiếng Anh
173,64000175,,7.5,7.25,,8.25,,,,,N1,Tiếng Anh
174,64000176,4.2,7.5,,,,7.5,5.5,,2.4,N1,Tiếng Anh
175,64000177,5.2,,,,,4.5,4.75,7.5,4.6,N1,Tiếng Anh
176,64000178,3.4,6.75,,,,4.25,6.5,,,,
177,64000179,3.8,,,,,6.25,,8.5,3.8,N1,Tiếng Anh
178,64000180,4.2,7.5,,,,,,,3.6,N1,Tiếng Anh
179,64000181,4.8,7.25,,,,,5.75,,3.6,N1,Tiếng Anh
180,64000182,2.8,3.25,,,,,3.75,,,,
181,64000183,3.4,6.75,,,,5.75,3.75,,,,
182,64000184,5.6,5.75,3.5,,7.5,,,,3.2,N1,Tiếng Anh
183,64000185,7.6,,,,,8.75,8.75,9.25,,N1,Tiếng Anh
184,64000186,,,,,,9.5,7.5,,,,
185,64000187,4.4,5.75,,,,5.5,4.75,6.75,3.8,N1,Tiếng Anh
186,64000188,5.2,6.25,,,,4.5,3.75,7.5,3.8,N1,Tiếng Anh
187,64000189,,7.5,,,,,5.5,9.5,5.6,N1,Tiếng Anh
188,64000190,,6.75,,,,6.25,6.75,8.75,5.8,N1,Tiếng Anh
189,64000191,6.8,8.25,,,,,,9.25,8.4,N1,Tiếng Anh
190,64000192,4.8,6.25,,,,,4.5,,3.2,N1,Tiếng Anh
191,64000193,3.8,4.25,,,,3.75,,,,,
192,64000194,4.4,6.75,,,,5.75,6.75,,,,
193,64000195,8.4,8.5,6.75,8.25,8.25,,,,7.4,N1,Tiếng Anh
194,64000196,5.8,7.5,,,,7.25,7.25,9.25,3.4,N1,Tiếng Anh
195,64000197,6.4,,,,,4.5,,9.25,4.4,N1,Tiếng Anh
196,64000198,,4.5,6.75,7.25,5.5,,,,3.8,N1,Tiếng Anh
197,64000199,,6.5,,,,5.25,5.5,,3.8,N1,Tiếng Anh
198,64000200,4.8,,6.25,,,,,,,,
199,64000201,4.4,,,,,3.5,5.5,8.5,5.2,N1,Tiếng Anh
200,64000202,,5.5,,,,6.5,5.75,,,,
201,64000203,,7.5,,,,8.25,6.25,10.0,6.4,N1,Tiếng Anh
202,64000204,7.2,,,,,7.75,5.5,9.25,3.4,N1,Tiếng Anh
203,64000205,5.8,,,,,,6.75,8.75,4.6,N1,Tiếng Anh
204,64000206,8.4,6.5,,7.75,6.75,,,,,N1,Tiếng Anh
205,64000207,3.4,3.75,,,,,3.75,,,,
206,64000208,7.8,,,,,9.25,7.25,9.25,5.6,N1,Tiếng Anh
207,64000209,4.8,6.75,,,,4.75,,,,,
208,64000210,6.4,,,,,,5.75,9.75,5.6,N1,Tiếng Anh
209,64000211,6.6,6.5,,,6.5,,,,3.4,N1,Tiếng Anh
210,64000212,6.2,7.75,,,,6.75,5.5,7.75,2.8,N1,Tiếng Anh
211,64000213,5.4,7.75,,,,5.75,5.25,,3.4,N1,Tiếng Anh
212,64000214,,,,,,6.75,5.75,8.25,5.2,N1,Tiếng Anh
213,64000215,3.6,3.75,,,,,5.75,,,,
214,64000216,4.4,5.75,,,,6.5,6.75,8.5,3.2,N1,Tiếng Anh
215,64000217,,,,8.25,,,,,,,
216,64000218,2.6,,,,,3.25,4.5,,,,
217,64000219,7.4,7.75,,,,,,9.25,3.6,N1,Tiếng Anh
218,64000220,5.6,6.5,,,,6.25,5.25,,3.4,N1,Tiếng Anh
219,64000221,7.6,,7.25,7.5,6.5,,,,6.2,N1,Tiếng Anh
220,64000222,4.4,,,,,4.5,6.75,,,,
221,64000223,3.8,5.5,,,,3.25,5.5,,,,
222,64000224,5.8,6.25,,,,5.75,5.75,8.25,,N1,Tiếng Anh
223,64000225,5.2,5.25,,,,5.75,6.25,,,,
224,64000226,3.4,3.75,,,,4.25,,,,,
225,64000227,3.2,6.25,,,,,4.5,7.5,3.4,N1,Tiếng Anh
226,64000228,4.8,,,,,4.75,5.25,,,,
227,64000229,,7.5,,,,5.75,5.75,9.5,7.6,N1,Tiếng Anh
228,64000230,4.8,7.25,,,,,5.25,,3.4,N1,Tiếng Anh
229,64000231,5.8,6.75,,,,5.25,6.5,,5.2,N1,Tiếng Anh
230,64000232,6.8,7.75,,,,6.25,,9.25,4.8,N1,Tiếng Anh
231,64000233,4.8,,,,,,6.25,6.75,3.6,N1,Tiếng Anh
232,64000234,6.8,7.25,,,,,6.25,,,N1,Tiếng Anh
233,64000235,6.4,,,,,7.5,6.25,8.5,3.6,N1,Tiếng Anh
234,64000236,7.4,6.25,7.5,,6.5,,,,2.2,N1,Tiếng Anh
235,64000237,,7.25,,,,7.75,7.5,9.5,4.8,N1,Tiếng Anh
236,64000238,,5.5,5.5,8.25,7.5,,,,5.2,N1,Tiếng Anh
237,64000239,3.4,,,,,5.5,,,,,
238,64000240,,,,,,5.5,6.25,,5.2,N1,Tiếng Anh
239,64000241,7.2,6.75,,,,6.75,6.25,8.75,5.4,N1,Tiếng Anh
240,64000242,4.2,6.5,,,,6.75,5.75,,,,
241,64000243,5.2,,,,,7.75,,8.25,5.6,N1,Tiếng Anh
242,64000244,,6.5,,,,,5.75,,,,
243,64000245,6.2,,,,,7.75,6.75,,6.4,N1,Tiếng Anh
244,64000246,6.6,8.5,,,,5.5,5.75,9.5,,N1,Tiếng Anh
245,64000247,7.2,,,,,,,,,,
246,64000248,6.4,4.5,,6.25,6.25,,,,2.6,N1,Tiếng Anh
247,64000249,6.8,,,7.75,6.5,,,,,N1,Tiếng Anh
248,64000250,7.6,5.5,5.75,6.75,,,,,3.4,N1,Tiếng Anh
249,64000251,,7.75,,,,6.75,5.25,,,,
250,64000252,,7.5,6.25,3.75,6.5,,,,4.6,N1,Tiếng Anh
251,64000253,5.2,8.25,,,,4.25,6.5,,,N1,Tiếng Anh
252,64000254,,,,,,6.5,,,5.6,N1,Tiếng Anh
253,64000255,,,,,,,6.75,,,,
254,64000256,,,,,,2.75,,,,,
255,64000257,7.6,,7.5,8.5,,,,,3.6,N1,Tiếng Anh
256,64000258,5.8,,,,,6.25,5.75,7.75,4.2,N1,Tiếng Anh
257,64000259,3.6,,,,,2.25,4.75,,,,
258,64000260,3.6,,,,,4.75,5.25,7.25,4.4,N1,Tiếng Anh
259,64000261,,6.5,,,,,5.5,,,,
260,64000262,3.2,5.5,,,,5.5,4.75,7.25,2.8,N1,Tiếng Anh
261,64000263,5.6,5.5,,,,4.5,6.5,7.5,4.2,N1,Tiếng Anh
262,64000264,5.2,6.75,,,,7.25,,9.5,,N1,Tiếng Anh
263,64000265,4.2,5.75,,,,,,,,,
264,64000266,6.8,5.5,,,8.25,,,,5.2,N1,Tiếng Anh
265,64000267,6.6,8.5,,,,5.75,,8.75,,N1,Tiếng Anh
266,64000268,6.6,7.5,,,,3.5,6.5,8.5,2.8,N1,Tiếng Anh
267,64000269,5.4,8.25,,,,,,9.25,4.8,N1,Tiếng Anh
268,64000270,,,,,,,4.75,7.75,2.8,N1,Tiếng Anh
269,64000271,7.2,6.75,5.75,6.5,7.25,,,,,N1,Tiếng Anh
270,64000272,,,,,,6.75,4.75,,3.4,N1,Tiếng Anh
271,64000273,4.8,5.5,,,,,,,,N1,Tiếng Anh
272,64000274,7.6,8.75,,,,,,8.5,,N1,Tiếng Anh
273,64000275,3.4,5.75,,,,5.25,6.25,8.5,3.2,N1,Tiếng Anh
274,64000276,5.4,,,,,4.75,4.5,8.25,2.8,N1,Tiếng Anh
275,64000277,4.8,,,,,6.25,,,2.2,N1,Tiếng Anh
276,64000278,8.8,7.25,7.75,8.25,7.5,,,,,N1,Tiếng Anh
277,64000279,4.8,,,,,3.75,4.25,,,N1,Tiếng Anh
278,64000280,6.6,6.5,,7.5,,,,,,N1,Tiếng Anh
279,64000281,5.2,8.25,,,,8.25,7.25,,3.6,N1,Tiếng Anh
280,64000282,8.2,8.5,7.25,,6.25,,,,4.2,N1,Tiếng Anh
